Country Name,Country Code,2019 [YR2019],2020 [YR2020]
Palau,PLW,14907.77735,..
Panama,PAN,15727.97449,12269.049
Papua New Guinea,PNG,2829.167085,2636.800249
Paraguay,PRY,5380.963322,4949.7497
Peru,PER,7027.612207,6126.87454
Philippines,PHL,3485.340844,3298.829851
Poland,POL,15694.84082,15656.18273
Portugal,PRT,23284.52723,22439.87687
Puerto Rico,PRI,32850.54861,32290.92114
Qatar,QAT,62087.97413,50805.46357
Romania,ROU,12889.80961,12896.08862
Russian Federation,RUS,11497.64925,10126.72179
Rwanda,RWA,820.1492886,797.8555543
Samoa,WSM,4324.101774,4067.47263
San Marino,SMR,47731.20854,..
Sao Tome and Principe,STP,1987.579702,2157.840446
Saudi Arabia,SAU,23139.79798,20110.31619
Senegal,SEN,1430.148259,1487.757309
Serbia,SRB,7411.558649,7666.244476
Seychelles,SYC,16198.51748,11425.09293
Sierra Leone,SLE,527.5341745,484.5212675
Singapore,SGP,65640.70795,59797.75218
Sint Maarten (Dutch part),SXM,..,..
Slovak Republic,SVK,19273.25395,19156.88961
Slovenia,SVN,25940.72803,25179.66717
Solomon Islands,SLB,2344.231634,2258.400365
Somalia,SOM,320.0381483,309.4154546
South Africa,ZAF,6001.401121,5090.715025
South Sudan,SSD,..,..
Spain,ESP,29564.7449,27057.16352
Sri Lanka,LKA,3851.56099,3682.038425
St. Kitts and Nevis,KNA,19773.46237,17435.92743
St. Lucia,LCA,11611.09784,9276.117829
St. Martin (French part),MAF,..,..
St. Vincent and the Grenadines,VCT,7457.239776,7297.91235
Sudan,SDN,753.2821741,595.467833
Suriname,SUR,7261.16561,6491.139065
Eswatini,SWZ,3894.66963,3415.459446
Sweden,SWE,51686.85135,51925.71376
Switzerland,CHE,85300.34797,86601.55641
Syrian Arab Republic,SYR,..,..
Tajikistan,TJK,890.5444024,859.1379611
Tanzania,TZA,1085.884861,1076.470385
Thailand,THA,7817.011522,7189.041835
Timor-Leste,TLS,1560.508615,1381.17566
Togo,TGO,893.3524541,914.9505826
Tonga,TON,4903.012138,..
Trinidad and Tobago,TTO,16637.16294,15384.03946
Tunisia,TUN,3351.573443,3319.819024
Turkey,TUR,9126.594392,8538.16906
Turkmenistan,TKM,7612.03518,..
Turks and Caicos Islands,TCA,31350.86663,23879.92665
Tuvalu,TUV,4055.89561,4143.109753
Uganda,UGA,794.4514454,817.0357569
Ukraine,UKR,3662.563087,3726.927149
United Arab Emirates,ARE,43103.33629,..
United Kingdom,GBR,42354.41465,40284.63846
United States,USA,65279.52903,63543.57779
Uruguay,URY,17688.01501,15438.41167
Uzbekistan,UZB,1719.05721,1685.764947
Vanuatu,VUT,3102.34679,2782.98434
"Venezuela, RB",VEN,..,..
Vietnam,VNM,2715.27598,2785.724157
Virgin Islands (U.S.),VIR,..,..
West Bank and Gaza,PSE,3656.858271,3239.731108
"Yemen, Rep.",YEM,..,..
Zambia,ZMB,1305.002214,1050.919283
Zimbabwe,ZWE,1156.154864,1128.210711
